campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;campo10;campo11;campo12;campo13;campo14;campo15;campo16;campo17;campo18;campo19;campo20;campo21;campo22;campo23;campo24;campo25;campo26;campo27;campo28;campo29;campo30;campo31;campo32;campo33;campo34;campo35;campo36;campo37;campo38;campo39;campo40;campo41;campo42;campo43;campo44;campo45;campo46;campo47;campo48;campo49;campo50;campo51;campo52;campo53;campo54;campo55;campo56;campo57;campo58;campo59;campo60;campo61;campo62;campo63;campo64;campo65;campo66;campo67;campo68;campo69;campo70;campo71;campo72;campo73;campo74;campo75;campo76;campo77;campo78;campo79;campo80;campo81;campo82;campo83;campo84;campo85;campo86;campo87;campo88;campo89;campo90;campo91;campo92;campo93;campo94;campo95;campo96;campo97;campo98;campo99;campo100;campo101;campo102;campo103;campo104;campo105;campo106;campo107;campo108;campo109;campo110;campo111;campo112;campo113;campo114;campo115;campo116;campo117;campo118;campo119;campo120;campo121;campo122;campo123;campo124;campo125;campo126;campo127;campo128;campo129;campo130;campo131;campo132;campo133;campo134;campo135;campo136;campo137;campo138;campo139;campo140;campo141;campo142;campo143;campo144;campo145;campo146;campo147;campo148;campo149;campo150;campo151;campo152;campo153;campo154;campo155;campo156;campo157;campo158;campo159;campo160;campo161;campo162;campo163;campo164;campo165;campo166;campo167;campo168;campo169;campo170;campo171;campo172;campo173;campo174;campo175;campo176;campo177;campo178;campo179;campo180;campo181;campo182;campo183;campo184;campo185;campo186;campo187;campo188;campo189;campo190;campo191;campo192;campo193;campo194;campo195;campo196;campo197;campo198;campo199;campo200;sheet;LinhaCabecalho;NumeroLinha
0070520082;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/12/01 00:00:00.000;PEUC;2014/12/01 00:00:00.000;NA;NA;NA;NA;NOTIFICADO / IMPUGNAÇÃO DEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;30
0070520083;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/12/10 00:00:00.000;PEUC;2014/12/10 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;31
0070520084;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 85,0;2014/11/14 00:00:00.000;PEUC;2014/11/14 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;32
0070520085;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 84,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;33
0070520086;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;34
0070520087;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;35
0070520088;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/12/01 00:00:00.000;PEUC;2014/12/01 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;36
0070520089;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/12/24 00:00:00.000;PEUC;2014/12/24 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;37
0070520090;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/12/01 00:00:00.000;PEUC;2014/12/01 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;38
0070520091;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/12/12 00:00:00.000;PEUC;2014/12/12 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;39
0070520092;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/11/24 00:00:00.000;PEUC;2014/11/24 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO INDEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;40
0070520093;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 84,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;41
0070520094;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 85,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;42
0070520095;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 84,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;43
0070520096;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;44
0070520097;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;45
0070520098;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;46
0070520099;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 89,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;47
0070520100;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 130,0;2014/11/27 00:00:00.000;PEUC;2014/11/27 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;48
0070520101;NÃO UTILIZADO;AV SÃO JOAO;1151-1155;SPSE;OU CENTRO; 255,0; 168,0;2014/12/08 00:00:00.000;PEUC;2014/12/08 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO INDEFERIDA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;49
0513060001;NÃO EDIFICADO;R IBITIRAMA;2408;SPVP;ZEIS 2 ; 1200,0; 0,0;2014/12/12 00:00:00.000;PEUC;2014/12/12 00:00:00.000;;;;;NOTIFICADO / IMPUGNAÇÃO EM ANÁLISE;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plan1                                                                                                                                                                                                                                                     ; 4;50
